airport,iata,lon,lat
강릉,KAG,128.9440002,37.75360107
광주,KWJ,126.8089981,35.12639999
군산,KUV,126.6159973,35.90380096
김포,GMP,126.7910004,37.55830002
대구,TAE,128.6589966,35.89410019
목포,MPK,126.3799973,34.75889969
무안,MWX,126.382814,34.991406
부산,PUS,128.9380035,35.17950058
사천,HIN,128.0700073,35.08850098
서울,SSN,127.1139984,37.44580078
속초,SHO,128.598999,38.14260101
수원,SWU,127.0070038,37.23939896
양양,YNY,128.6690063,38.06129837
여수,RSU,127.6169968,34.84230042
여천,YEC,128.3549957,36.63190079
오산,OSN,127.029999,37.090599
울산,USN,129.352005,35.59349823
원주,WJU,127.9599991,37.43809891
인천,ICN,126.4509964,37.46910095
제주,CJU,126.4929962,33.51129913
진주,CHN,127.1200027,35.8783989
청주,CJJ,127.4990005,36.71659851
포항,KPO,129.4199982,35.98789978
