설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
시장,문창시장 해성건강원,대전광역시,중구,기타,KT,Public WIFI,Dec-11,대전광역시 중구 문창로10번길 22,대전광역시 중구 문창동 364-12번지,대전광역시청,042-270-3303,36.315458,127.438588,2018-02-19
시장,문창시장,대전광역시,중구,기타,KT,Public WIFI,Dec-11,대전광역시 중구 문창로10번길 22,대전광역시 중구 문창동 364-12번지,대전광역시청,042-270-3303,36.314281,127.437495,2018-02-19
시장,문창시장 늘푸른청과,대전광역시,중구,기타,KT,Public WIFI,Dec-11,대전광역시 중구 문창로10번길 22,대전광역시 중구 문창동 364-12번지,대전광역시청,042-270-3303,36.314591,127.436297,2018-02-19
시장,중리시장 승진야채,대전광역시,대덕구,기타,KT,Public WIFI,Dec-11,대전광역시 대덕구 중리북로37번길 26,대전광역시 대덕구 중리동368-7,대전광역시청,042-270-3303,36.364878,127.425868,2018-02-19
시장,중리시장,대전광역시,대덕구,기타,KT,Public WIFI,Dec-11,대전광역시 대덕구 중리북로37번길 26,대전광역시 대덕구 중리동368-7,대전광역시청,042-270-3303,36.365868,127.425981,2018-02-19
시장,삼성정육점,대전광역시,동구,기타,KT,Public WIFI,Dec-11,대전광역시 동구 대전로779번길 26,대전광역시 동구 원동 64-27번지,대전광역시청,042-270-3303,36.329089,127.431646,2018-02-19
시장,중앙상가 개성시대,대전광역시,동구,기타,KT,Public WIFI,Dec-11,대전광역시 동구 대전로791번길 38,대전광역시 동구 중동28-45번지,대전광역시청,042-270-3303,36.329576,127.431211,2018-02-19
시장,㈜중앙메가프라자 루디아,대전광역시,동구,기타,KT,Public WIFI,Dec-11,대전광역시 중구 중앙로200번길 85,대전광역시 동구 원동40-1번지,대전광역시청,042-270-3303,36.327082,127.433953,2018-02-19
공원,서대전광장 공연장위,대전광역시,중구,지역문화시설,KT,Public WIFI,Dec-11,대전광역시 중구 계백로1716번길 23,대전광역시 중구 문화1동 1-39,대전광역시청,042-270-3303,36.320795,127.410651,2018-02-19
공원,서대전광장 화장실 위,대전광역시,중구,지역문화시설,KT,Public WIFI,Dec-11,대전광역시 중구 계백로1716번길 23,대전광역시 중구 문화1동 1-39,대전광역시청,042-270-3303,36.321169,127.412508,2018-02-19
공원,유림공원,대전광역시,유성구,지역문화시설,KT,Public WIFI,Dec-11,대전광역시 유성구 봉명동2-1,대전광역시 유성구 봉명동2-1,대전광역시청,042-270-3303,36.360832,127.357955,2018-02-19
공원,한밭수목원,대전광역시,서구,지역문화시설,KT,Public WIFI,Dec-11,대전광역시 서구 둔산대로 155,대전광역시 서구 만년동 396,대전광역시청,042-270-3303,36.367493,127.387796,2018-02-19
공원,금강로하스공원 관리사무소,대전광역시,대덕구,지역문화시설,KT,Public WIFI,Dec-11,대전광역시 대덕구 대청로 607,대전광역시 대덕구 미호동57번지,대전광역시청,042-270-3303,36.473686,127.474126,2018-02-19
시청,대전광역시청 1층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,127.384847,2018-02-19
시청,대전광역시청 1층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,128.384847,2018-02-19
시청,대전광역시청 3층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,129.384847,2018-02-19
시청,대전광역시청 3층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,130.384847,2018-02-19
시청,대전광역시청 5층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,131.384847,2018-02-19
시청,대전광역시청 5층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,132.384847,2018-02-19
시청,대전광역시청 10층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,133.384847,2018-02-19
시청,대전광역시청 10층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,134.384847,2018-02-19
시청,대전광역시청 20층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,135.384847,2018-02-19
시청,대전광역시청 20층,대전광역시,서구,관공서,KT,Public WIFI,Dec-11,대전광역시 서구 둔산로 100,대전광역시 서구 둔산동 1420,대전광역시청,042-270-3303,36.350412,136.384847,2018-02-19
